Date,Name,Type,Time,Distance,Comments
2019-09-09 7:13,Morning Ride,Ride,2084,12.62,Rain
2019-09-09 20:52,Afternoon Ride,Ride,2531,13.03,rain
2019-09-10 7:23,Morning Ride,Ride,1863,,Wet road but nice weather
2019-09-10 21:06,Afternoon Ride,Ride,2192,12.84,Stopped for photo of sunrise
2019-09-11 7:28,Morning Ride,Ride,1891,12.48,Tired by the end of the week
2019-09-15 20:57,Afternoon Ride,Ride,2272,12.45,Rested after the weekend!
2019-09-16 7:15,Morning Ride,Ride,1973,12.45,Legs feeling strong!
2019-09-16 20:43,Afternoon Ride,Ride,2285,12.6,Raining
2019-09-17 20:49,Afternoon Ride,Ride,2903,14.57,Raining today
2019-09-17 7:15,Morning Ride,Ride,2101,12.48,Pumped up tires
2019-09-18 7:30,Afternoon Ride,Ride,48062,12.48,Feeling good
2019-09-18 20:52,Afternoon Ride,Ride,2090,12.59,Getting colder which is nice
2019-09-19 8:02,Morning Ride,Ride,2961,12.81,Feeling good
2019-09-22 20:50,Afternoon Ride,Ride,2462,12.68,Rested after the weekend!
2019-09-23 7:35,Morning Ride,Ride,2076,12.47,"Oiled chain, bike feels smooth"
2019-09-23 20:41,Afternoon Ride,Ride,2321,12.68,Bike feeling much smoother
2019-09-24 7:07,Morning Ride,Ride,1775,12.1,Feeling really tired
2019-09-24 20:35,Afternoon Ride,Ride,2124,12.65,Stopped for photo of sunrise
2019-09-25 7:13,Morning Ride,Ride,1860,12.52,raining
2019-09-25 20:42,Afternoon Ride,Ride,2350,12.91,Detour around trucks at Jericho
2019-09-26 8:00,Morning Ride,Ride,1712,12.47,Tired by the end of the week
2019-09-29 20:53,Afternoon Ride,Ride,2118,12.71,Rested after the weekend!
2019-09-30 7:15,Morning Ride,Ride,1732,,Legs feeling strong!
2019-09-30 20:45,Afternoon Ride,Ride,2222,12.82,Beautiful morning! Feeling fit
2019-10-01 7:13,Morning Ride,Ride,1756,,A little tired today but good weather
2019-10-01 20:46,Afternoon Ride,Ride,2134,13.06,Bit tired today but good weather
2019-10-02 7:45,Morning Ride,Ride,1724,12.52,Feeling good
2019-10-02 20:47,Afternoon Ride,Ride,2182,12.68,Wet road
2019-10-03 8:08,Morning Ride,Ride,1870,12.63,"Very tired, riding into the wind"
2019-10-08 20:55,Afternoon Ride,Ride,2149,12.7,Really cold! But feeling good
2019-10-09 7:10,Morning Ride,Ride,1841,12.59,Feeling good after a holiday break!
2019-10-09 20:47,Afternoon Ride,Ride,2463,12.79,Stopped for photo of sunrise
2019-10-10 7:16,Morning Ride,Ride,1843,11.79,"Bike feeling tight, needs an oil and pump"
