bite_date,species,breed,gender,color,vaccination_yrs,vaccination_date,victim_zip,adv_issued,bite_location,quarantine_date,disposition,head_sent_date,release_date,results
1985-05-05,DOG,,FEMALE,LIG. BROWN,1,1985-06-20 0:00,40229,NO,BODY,1985-05-05 0:00,UNKNOWN,,,UNKNOWN
1986-02-12,DOG,,UNKNOWN,BRO & BLA,,,40218,NO,BODY,1986-02-12 0:00,UNKNOWN,,,UNKNOWN
1987-05-07,DOG,,UNKNOWN,,,,40219,NO,BODY,1990-05-07 0:00,UNKNOWN,,,UNKNOWN
1988-10-02,DOG,,MALE,BLA & BRO,,,,NO,BODY,1990-10-02 0:00,UNKNOWN,,,UNKNOWN
1989-08-29,DOG,,FEMALE,BLK-WHT,,,,NO,BODY,,UNKNOWN,,,UNKNOWN
1989-11-24,DOG,,UNKNOWN,,,,40211,NO,BODY,,UNKNOWN,,,UNKNOWN
1990-02-08,DOG,,FEMALE,BLACK/WHIT,1,1990-02-13 0:00,40203,NO,BODY,1990-02-12 0:00,UNKNOWN,,,UNKNOWN
1990-02-22,DOG,,MALE,BLK-WHT,,,,NO,BODY,1990-02-23 0:00,RELEASED,,,UNKNOWN
1990-08-02,DOG,,MALE,BROWN,,,,NO,BODY,1990-08-02 0:00,UNKNOWN,,,UNKNOWN
1990-08-19,DOG,,UNKNOWN,BRN-TAN,,,,NO,BODY,1990-08-20 0:00,RELEASED,,,UNKNOWN
1990-08-31,DOG,,MALE,TRI,,,,NO,HEAD,1990-09-04 0:00,RELEASED,,,UNKNOWN
1990-10-20,DOG,,MALE,BLK,,,,NO,BODY,1990-10-22 0:00,RELEASED,,,UNKNOWN
1991-02-09,DOG,,MALE,BLK-BRN,,,,NO,BODY,1991-02-13 0:00,RELEASED,,,UNKNOWN
1991-07-05,DOG,,MALE,BLK-BRN,,,,YES,BODY,1991-07-09 0:00,RELEASED,,,UNKNOWN
1991-09-14,DOG,,MALE,WHT,,,,NO,BODY,1991-09-19 0:00,RELEASED,,,UNKNOWN
1991-10-09,DOG,,FEMALE,WHT-BRN,,,,NO,HEAD,1991-10-11 0:00,RELEASED,,,UNKNOWN
1991-11-07,DOG,,UNKNOWN,,,,,NO,BODY,1991-11-14 0:00,RELEASED,,,UNKNOWN
1992-02-08,DOG,,MALE,BLK,,,,NO,BODY,1992-02-12 0:00,UNKNOWN,,,UNKNOWN
