name,deck_no,attack,defense,sp_attack,sp_defense,capture_rt,speed,bs_happiness,total_bs,type,gen,legendary
Bulbasaur,1,49,49,65,65,45,45,70,318,grass,1,0
Ivysaur,2,62,63,80,80,45,60,70,405,grass,1,0
Venusaur,3,100,123,122,120,45,80,70,625,grass,1,0
Charmander,4,52,43,60,50,45,65,70,309,fire,1,0
Charmeleon,5,64,58,80,65,45,80,70,405,fire,1,0
Charizard,6,104,78,159,115,45,100,70,634,fire,1,0
Squirtle,7,48,65,50,64,45,43,70,314,water,1,0
Wartortle,8,63,80,65,80,45,58,70,405,water,1,0
Blastoise,9,103,120,135,115,45,78,70,630,water,1,0
Caterpie,10,30,35,20,20,255,45,70,195,bug,1,0
Metapod,11,20,55,25,25,120,30,70,205,bug,1,0
Butterfree,12,45,50,90,80,45,70,70,395,bug,1,0
Weedle,13,35,30,20,20,255,50,70,195,bug,1,0
Kakuna,14,25,50,25,25,120,35,70,205,bug,1,0
Beedrill,15,150,40,15,80,45,145,70,495,bug,1,0
Pidgey,16,45,40,35,35,255,56,70,251,normal,1,0
Pidgeotto,17,60,55,50,50,120,71,70,349,normal,1,0
Pidgeot,18,80,80,135,80,45,121,70,579,normal,1,0
Rattata,19,56,35,25,35,255,72,70,253,normal,1,0
Raticate,20,71,70,40,80,127,77,70,413,normal,1,0
Spearow,21,60,30,31,31,255,70,70,262,normal,1,0
Fearow,22,90,65,61,61,90,100,70,442,normal,1,0
Ekans,23,60,44,40,54,255,55,70,288,poison,1,0
Arbok,24,95,69,65,79,90,80,70,448,poison,1,0
Pikachu,25,55,40,50,50,190,90,70,320,electric,1,0
Raichu,26,85,50,95,85,75,110,70,485,electric,1,0
Sandshrew,27,75,90,10,35,255,40,70,300,ground,1,0
Sandslash,28,100,120,25,65,90,65,70,450,ground,1,0
Nidoran♀,29,47,52,40,40,235,41,70,275,poison,1,0
Nidorina,30,62,67,55,55,120,56,70,365,poison,1,0
Nidoqueen,31,92,87,75,85,45,76,70,505,poison,1,0
Nidoran♂,32,57,40,40,40,235,50,70,273,poison,1,0
Nidorino,33,72,57,55,55,120,65,70,365,poison,1,0
Nidoking,34,102,77,85,75,45,85,70,505,poison,1,0
Clefairy,35,45,48,60,65,150,35,140,323,fairy,1,0
Clefable,36,70,73,95,90,25,60,140,483,fairy,1,0
Vulpix,37,41,40,50,65,190,65,70,299,fire,1,0
Ninetales,38,67,75,81,100,75,109,70,505,fire,1,0
Jigglypuff,39,45,20,45,25,170,20,70,270,normal,1,0
Wigglytuff,40,70,45,85,50,50,45,70,435,normal,1,0
Zubat,41,45,35,30,40,255,55,70,245,poison,1,0
Golbat,42,80,70,65,75,90,90,70,455,poison,1,0
Oddish,43,50,55,75,65,255,30,70,320,grass,1,0
Gloom,44,65,70,85,75,120,40,70,395,grass,1,0
Vileplume,45,80,85,110,90,45,50,70,490,grass,1,0
Paras,46,70,55,45,55,190,25,70,285,bug,1,0
Parasect,47,95,80,60,80,75,30,70,405,bug,1,0
Venonat,48,55,50,40,55,190,45,70,305,bug,1,0
Venomoth,49,65,60,90,75,75,90,70,450,bug,1,0
Diglett,50,55,30,35,45,255,90,70,265,ground,1,0
Dugtrio,51,100,60,50,70,50,110,70,425,ground,1,0
Meowth,52,35,35,50,40,255,90,70,290,normal,1,0
Persian,53,60,60,75,65,90,115,70,440,normal,1,0
Psyduck,54,52,48,65,50,190,55,70,320,water,1,0
Golduck,55,82,78,95,80,75,85,70,500,water,1,0
Mankey,56,80,35,35,45,190,70,70,305,fighting,1,0
Primeape,57,105,60,60,70,75,95,70,455,fighting,1,0
Growlithe,58,70,45,70,50,190,60,70,350,fire,1,0
Arcanine,59,110,80,100,80,75,95,70,555,fire,1,0
Poliwag,60,50,40,40,40,255,90,70,300,water,1,0
Poliwhirl,61,65,65,50,50,120,90,70,385,water,1,0
Poliwrath,62,95,95,70,90,45,70,70,510,water,1,0
Abra,63,20,15,105,55,200,90,70,310,psychic,1,0
Kadabra,64,35,30,120,70,100,105,70,400,psychic,1,0
Alakazam,65,50,65,175,105,50,150,70,600,psychic,1,0
Machop,66,80,50,35,35,180,35,70,305,fighting,1,0
Machoke,67,100,70,50,60,90,45,70,405,fighting,1,0
Machamp,68,130,80,65,85,45,55,70,505,fighting,1,0
Bellsprout,69,75,35,70,30,255,40,70,300,grass,1,0
Weepinbell,70,90,50,85,45,120,55,70,390,grass,1,0
Victreebel,71,105,65,100,70,45,70,70,490,grass,1,0
Tentacool,72,40,35,50,100,190,70,70,335,water,1,0
Tentacruel,73,70,65,80,120,60,100,70,515,water,1,0
Geodude,74,80,100,30,30,255,20,70,300,rock,1,0
Graveler,75,95,115,45,45,120,35,70,390,rock,1,0
Golem,76,120,130,55,65,45,45,70,495,rock,1,0
Ponyta,77,85,55,65,65,190,90,70,410,fire,1,0
Rapidash,78,100,70,80,80,60,105,70,500,fire,1,0
Slowpoke,79,65,65,40,40,190,15,70,315,water,1,0
Slowbro,80,75,180,130,80,75,30,70,590,water,1,0
Magnemite,81,35,70,95,55,190,45,70,325,electric,1,0
Magneton,82,60,95,120,70,60,70,70,465,electric,1,0
Farfetch'd,83,90,55,58,62,45,60,70,377,normal,1,0
Doduo,84,85,45,35,35,190,75,70,310,normal,1,0
Dodrio,85,110,70,60,60,45,110,70,470,normal,1,0
Seel,86,45,55,45,70,190,45,70,325,water,1,0
Dewgong,87,70,80,70,95,75,70,70,475,water,1,0
Grimer,88,80,50,40,50,190,25,70,325,poison,1,0
Muk,89,105,75,65,100,75,50,70,500,poison,1,0
Shellder,90,65,100,45,25,190,40,70,305,water,1,0
Cloyster,91,95,180,85,45,60,70,70,525,water,1,0
Gastly,92,35,30,100,35,190,80,70,310,ghost,1,0
