This line doesn't matter ,,,,,,,,,,,
Or this one ,,,,,,,,,,,
This data was altered on April 16th,,,,,,,,,,,
During the Quarantine,,,,,,,,,,,
name,deck_no,attack,defense,sp_attack,sp_defense,speed,capture_rt,total_bs,type,gen,legendary
Bulbasaur,1,49,49,65,65,45,45,318,grass,1,no
Ivysaur,2,62,63,80,80,60,45,405,grass,1,no
Venusaur,3,100,123,122,120,80,45,625,grass,1,no
Charmander,4,52,43,60,50,65,45,309,fire,1,no
Charmeleon,5,64,58,80,65,80,45,405,fire,1,no
Charizard,6,104,78,159,115,100,45,634,fire,1,no
Squirtle,7,48,65,50,64,43,45,314,water,1,no
Wartortle,8,63,80,65,80,58,45,405,water,1,no
Blastoise,9,103,120,135,115,78,45,630,water,1,no
Caterpie,10,30,35,20,20,45,255,195,bug,1,no
Metapod,11,20,55,25,25,30,120,205,bug,1,no
Butterfree,12,45,50,90,80,70,45,395,bug,1,no
Weedle,13,35,30,20,20,50,255,195,bug,1,no
Kakuna,14,25,50,25,25,35,120,205,bug,1,no
Beedrill,15,150,40,15,80,145,45,495,bug,1,no
Pidgey,16,45,40,35,35,56,255,251,normal,1,no
Pidgeotto,17,60,55,50,50,71,120,349,normal,1,no
Pidgeot,18,80,80,135,80,121,45,579,normal,1,no
Rattata,19,56,35,25,35,72,255,253,normal,1,no
Raticate,20,71,70,40,80,77,127,413,normal,1,no
Spearow,21,60,30,31,31,70,255,262,normal,1,no
Fearow,22,90,65,61,61,100,90,442,normal,1,no
Ekans,23,60,44,40,54,55,255,288,poison,1,no
Arbok,24,95,69,65,79,80,90,448,poison,1,no
Pikachu,25,55,40,50,50,90,190,320,electric,1,no
Raichu,26,85,50,95,85,110,75,485,electric,1,no
Sandshrew,27,75,90,10,35,40,255,300,ground,1,no
Sandslash,28,100,120,25,65,65,90,450,ground,1,no
Nidoran♀,29,47,52,40,40,41,235,275,poison,1,no
Nidorina,30,62,67,55,55,56,120,365,poison,1,no
Nidoqueen,31,92,87,75,85,76,45,505,poison,1,no
Nidoran♂,32,57,40,40,40,50,235,273,poison,1,no
Nidorino,33,72,57,55,55,65,120,365,poison,1,no
Nidoking,34,102,77,85,75,85,45,505,poison,1,no
Clefairy,35,45,48,60,65,35,150,323,fairy,1,no
Clefable,36,70,73,95,90,60,25,483,fairy,1,no
