Date,Name,Type,Time,Distance,Comments
Sep-10-2019 17:13,Afternoon Ride,Ride,2084,12.62,Rain 
Sep-11-2019 06:52,Morning Ride,Ride,2531,13.03,rain
Sep-11-2019 17:23,Afternoon Ride,Ride,1863,12.52,Wet road but nice whether
Sep-12-2019 07:06,Morning Ride,Ride,2192,12.84,Stopped for photo of sunrise
Sep-12-2019 17:28,Afternoon Ride,Ride,1891,12.48,Tired by the end of the week.
Sep-17-2019 06:57,Morning Ride,Ride,2272,12.45,Rested after the weekend!
Sep-17-2019 17:15,Afternoon Ride,Ride,1973,12.45,Legs feeling strong!
Sep-18-2019 06:43,Morning Ride,Ride,2285,12.6,Raining
Sep-19-2019 06:49,Morning Ride,Ride,2903,14.57,Thankfully not raining today!
Sep-18-2019 17:15,Afternoon Ride,Ride,2101,12.48,Pumped up tires
Sep-19-2019 17:30,Afternoon Ride,Ride,48062,12.48,Feeling good
Sep-20-2019 06:52,Morning Ride,Ride,2090,12.59,Getting colder which is nice
Sep-20-2019 18:02,Afternoon Ride,Ride,2961,12.81,Feeling good
Sep-24-2019 06:50,Morning Ride,Ride,2462,12.68,Rested after the weekend!
Sep-24-2019 17:35,Afternoon Ride,Ride,2076,12.47,"Oiled chain, bike feels smooth"
Sep-25-2019 06:41,Morning Ride,Ride,2321,12.68,Bike feeling much smoother
Sep-25-2019 17:07,Afternoon Ride,Ride,1775,12.1,Feeling really tired
Sep-26-2019 06:35,Morning Ride,Ride,2124,12.65,Stopped for photo of sunrise
Sep-26-2019 17:13,Afternoon Ride,Ride,1860,12.52,raining
Sep-27-2019 06:42,Morning Ride,Ride,2350,12.91,Detour around trucks at Jericho
Sep-27-2019 18:00,Afternoon Ride,Ride,1712,12.47,Tired by the end of the week
Oct-01-2019 06:53,Morning Ride,Ride,2118,12.71,Rested after the weekend!
Oct-01-2019 17:15,Afternoon Ride,Ride,1732,,Legs feeling strong!
Oct-02-2019 06:45,Morning Ride,Ride,2222,12.82,Beautiful morning! Feeling fit
Oct-02-2019 17:13,Afternoon Ride,Ride,1756,,A little tired today but good weather
Oct-03-2019 06:46,Morning Ride,Ride,2134,13.06,Bit tired today but good weather
Oct-03-2019 17:45,Afternoon Ride,Ride,1724,12.52,Feeling good
Oct-04-2019 06:47,Morning Ride,Ride,2182,12.68,Wet road
Oct-04-2019 18:08,Afternoon Ride,Ride,1870,12.63,"Very tired, riding into the wind"
Oct-10-2019 07:55,Morning Ride,Ride,2149,12.7,Really cold! But feeling good
Oct-10-2019 18:10,Afternoon Ride,Ride,1841,12.59,Feeling good after a holiday break!
Oct-11-2019 07:47,Morning Ride,Ride,2463,12.79,Stopped for photo of sunrise
Oct-11-2019 18:16,Afternoon Ride,Ride,1843,11.79,"Bike feeling tight, needs an oil and pump"
