name,deck_no,attack,defense,sp_attack,sp_defense,speed,capture_rt,total_bs,type,gen,legendary
Wobbuffet,202,33,58,33,58,33,45,405,psychic,2,0
Girafarig,203,80,65,90,65,85,60,455,normal,2,0
Pineco,204,65,90,35,35,15,190,290,bug,2,0
Forretress,205,90,140,60,60,40,75,465,bug,2,0
Dunsparce,206,70,70,65,65,45,190,415,normal,2,0
Gligar,207,75,105,35,65,85,60,430,ground,2,0
Steelix,208,125,230,55,95,30,25,610,steel,2,0
Snubbull,209,80,50,40,40,30,190,300,fairy,2,0
Granbull,210,120,75,60,60,45,75,450,fairy,2,0
Qwilfish,211,95,85,55,55,85,45,440,water,2,0
Scizor,212,150,140,65,100,75,25,600,bug,2,0
Shuckle,213,10,230,10,230,5,190,505,bug,2,0
Heracross,214,185,115,40,105,75,45,600,bug,2,0
Sneasel,215,95,55,35,75,115,60,430,dark,2,0
Teddiursa,216,80,50,50,50,40,120,330,normal,2,0
Ursaring,217,130,75,75,75,55,60,500,normal,2,0
Slugma,218,40,40,70,40,20,190,250,fire,2,0
Magcargo,219,50,120,90,80,30,75,430,fire,2,0
Swinub,220,50,40,30,30,50,225,250,ice,2,0
Piloswine,221,100,80,60,60,50,75,450,ice,2,0
Corsola,222,55,95,65,95,35,60,410,water,2,0
Remoraid,223,65,35,65,35,65,190,300,water,2,0
Octillery,224,105,75,105,75,45,75,480,water,2,0
Delibird,225,55,45,65,45,75,45,330,ice,2,0
Mantine,226,40,70,80,140,70,25,485,water,2,0
Skarmory,227,80,140,40,70,70,25,465,steel,2,0
Houndour,228,60,30,80,50,65,120,330,dark,2,0
Houndoom,229,90,90,140,90,115,45,600,dark,2,0
Kingdra,230,95,95,95,95,85,45,540,water,2,0
Phanpy,231,60,60,40,40,40,120,330,ground,2,0
Donphan,232,120,120,60,60,50,60,500,ground,2,0
Porygon2,233,80,90,105,95,60,45,515,normal,2,0
Stantler,234,95,62,85,65,85,45,465,normal,2,0
Smeargle,235,20,35,20,45,75,45,250,normal,2,0
Tyrogue,236,35,35,35,35,35,75,210,fighting,2,0
Hitmontop,237,95,95,35,110,70,45,455,fighting,2,0
Smoochum,238,30,15,85,65,65,45,305,ice,2,0
Elekid,239,63,37,65,55,95,45,360,electric,2,0
Magby,240,75,37,70,55,83,45,365,fire,2,0
Miltank,241,80,105,40,70,100,45,490,normal,2,0
Blissey,242,10,10,75,135,55,30,540,normal,2,0
Raikou,243,85,75,115,100,115,3,580,electric,2,1
Entei,244,115,85,90,75,100,3,580,fire,2,1
Suicune,245,75,115,90,115,85,3,580,water,2,1
Larvitar,246,64,50,45,50,41,45,300,rock,2,0
Pupitar,247,84,70,65,70,51,45,410,rock,2,0
Tyranitar,248,164,150,95,120,71,45,700,rock,2,0
Lugia,249,90,130,90,154,110,3,680,psychic,2,1
Ho,250,130,90,110,154,90,3,680,fire,2,1
Celebi,251,100,100,100,100,100,45,600,psychic,2,1
Treecko,252,45,35,65,55,70,45,310,grass,3,0
Grovyle,253,65,45,85,65,95,45,405,grass,3,0
Sceptile,254,110,75,145,85,145,45,630,grass,3,0
Torchic,255,60,40,70,50,45,45,310,fire,3,0
Combusken,256,85,60,85,60,55,45,405,fire,3,0
Blaziken,257,160,80,130,80,100,45,630,fire,3,0
Mudkip,258,70,50,50,50,40,45,310,water,3,0
Marshtomp,259,85,70,60,70,50,45,405,water,3,0
Swampert,260,150,110,95,110,70,45,635,water,3,0
Poochyena,261,55,35,30,30,35,255,220,dark,3,0
Mightyena,262,90,70,60,60,70,127,420,dark,3,0
Zigzagoon,263,30,41,30,41,60,255,240,normal,3,0
Linoone,264,70,61,50,61,100,90,420,normal,3,0
Wurmple,265,45,35,20,30,20,255,195,bug,3,0
Silcoon,266,35,55,25,25,15,120,205,bug,3,0
Beautifly,267,70,50,100,50,65,45,395,bug,3,0
Cascoon,268,35,55,25,25,15,120,205,bug,3,0
Dustox,269,50,70,50,90,65,45,385,bug,3,0
Lotad,270,30,30,40,50,30,255,220,water,3,0
Lombre,271,50,50,60,70,50,120,340,water,3,0
