Year,Month,Day,Clock,Name,Type,Time,Distance,Comments
2019,Sep,10, 17:13:04,Afternoon Ride,Ride,2084,12.62,Rain
2019,Sep,11, 06:52:18,Morning Ride,Ride,2531,13.03,rain
2019,Sep,11, 17:23:50,Afternoon Ride,Ride,1863,12.52,Wet road but nice weather
2019,Sep,12, 07:06:19,Morning Ride,Ride,2192,12.84,Stopped for photo of sunrise
2019,Sep,12, 17:28:05,Afternoon Ride,Ride,1891,12.48,Tired by the end of the week
2019,Sep,17, 06:57:48,Morning Ride,Ride,2272,12.45,Rested after the weekend!
2019,Sep,17, 17:15:47,Afternoon Ride,Ride,1973,12.45,Legs feeling strong!
2019,Sep,18, 06:43:34,Morning Ride,Ride,2285,12.6,Raining
2019,Sep,19, 06:49:53,Morning Ride,Ride,2903,14.57,Raining today
2019,Sep,18, 17:15:52,Afternoon Ride,Ride,2101,12.48,Pumped up tires
2019,Sep,19, 17:30:01,Afternoon Ride,Ride,48062,12.48,Feeling good
2019,Sep,20, 06:52:09,Morning Ride,Ride,2090,12.59,Getting colder which is nice
2019,Sep,20, 18:02:05,Afternoon Ride,Ride,2961,12.81,Feeling good
2019,Sep,24, 06:50:41,Morning Ride,Ride,2462,12.68,Rested after the weekend!
2019,Sep,24, 17:35:42,Afternoon Ride,Ride,2076,12.47,"Oiled chain, bike feels smooth"
2019,Sep,25, 06:41:24,Morning Ride,Ride,2321,12.68,Bike feeling much smoother
2019,Sep,25, 17:07:21,Afternoon Ride,Ride,1775,12.1,Feeling really tired
2019,Sep,26, 06:35:41,Morning Ride,Ride,2124,12.65,Stopped for photo of sunrise
2019,Sep,26, 17:13:33,Afternoon Ride,Ride,1860,12.52,raining
2019,Sep,27, 06:42:43,Morning Ride,Ride,2350,12.91,Detour around trucks at Jericho
2019,Sep,27, 18:00:18,Afternoon Ride,Ride,1712,12.47,Tired by the end of the week
2019,Sep,1, 06:53:52,Morning Ride,Ride,2118,12.71,Rested after the weekend!
2019,Oct,1, 17:15:07,Afternoon Ride,Ride,1732,NaN,Legs feeling strong!
2019,Oct,2, 06:45:55,Morning Ride,Ride,2222,12.82,Beautiful morning! Feeling fit
2019,Oct,2, 17:13:09,Afternoon Ride,Ride,1756,NaN,A little tired today but good weather
2019,Oct,3, 06:46:06,Morning Ride,Ride,2134,13.06,Bit tired today but good weather
2019,Oct,3, 17:45:22,Afternoon Ride,Ride,1724,12.52,Feeling good
2019,Oct,4, 06:47:36,Morning Ride,Ride,2182,12.68,Wet road
2019,Oct,4, 18:08:08,Afternoon Ride,Ride,1870,12.63,"Very tired, riding into the wind"
2019,Oct,10, 07:55:40,Morning Ride,Ride,2149,12.7,Really cold! But feeling good
2019,Oct,10, 18:10:31,Afternoon Ride,Ride,1841,12.59,Feeling good after a holiday break!
2019,Oct,11, 07:47:14,Morning Ride,Ride,2463,12.79,Stopped for photo of sunrise
2019,Oct,11, 18:16:57,Afternoon Ride,Ride,1843,11.79,"Bike feeling tight, needs an oil and pump"
