set_num,matte,transparent
00-1,471.0,0.0
0011-2,12.0,0.0
0011-3,0.0,0.0
0012-1,12.0,0.0
0013-1,12.0,0.0
0014-1,12.0,0.0
0015-1,18.0,0.0
0016-1,15.0,0.0
00-2,143.0,4.0
00-3,149.0,0.0
00-4,126.0,0.0
005-1,35.0,0.0
00-6,0.0,0.0
00-7,0.0,0.0
010-1,53.0,4.0
010-3,73.0,4.0
011-1,137.0,8.0
022-1,100.0,10.0
03093-1,64.0,6.0
033-2,171.0,6.0
044-1,213.0,12.0
055-2,241.0,15.0
066-1,390.0,17.0
080-1,705.0,5.0
088-1,580.0,35.0
10000-1,261.0,0.0
10001-1,754.0,37.0
10002-1,251.0,22.0
10003-1,100.0,0.0
10004-1,100.0,0.0
10005-1,50.0,0.0
10006-1,50.0,0.0
10007-1,25.0,0.0
10008-1,50.0,0.0
10009-1,62.0,0.0
100-1,16.0,0.0
10010-1,63.0,0.0
10011-1,42.0,0.0
10012-1,42.0,0.0
10013-1,121.0,0.0
10014-1,156.0,17.0
10015-1,171.0,26.0
10016-1,128.0,0.0
10017-1,229.0,0.0
10018-1,1869.0,2.0
10019-1,1745.0,11.0
100-2,27.0,0.0
10020-1,419.0,10.0
10020-2,423.0,10.0
10021-1,976.0,0.0
10022-1,374.0,39.0
10023-1,110.0,3.0
10024-1,678.0,0.0
10025-1,307.0,19.0
10026-1,188.0,2.0
10027-1,643.0,35.0
10029-1,468.0,8.0
10030-1,3112.0,21.0
10036-1,146.0,6.0
10037-1,175.0,30.0
10039-1,437.0,0.0
10040-1,908.0,13.0
10041-1,626.0,23.0
10042-1,37.0,0.0
10043-1,1.0,0.0
10044-1,38.0,6.0
10045-1,13.0,0.0
10046-1,100.0,0.0
10047-1,36.0,0.0
10048-1,61.0,0.0
10049-1,31.0,0.0
10050-1,34.0,0.0
10051-1,0.0,50.0
10053-1,44.0,0.0
10054-1,68.0,0.0
10055-1,50.0,0.0
10056-1,56.0,0.0
10057-1,56.0,0.0
10058-1,56.0,0.0
10059-1,56.0,0.0
10060-1,56.0,0.0
10061-1,84.0,0.0
10062-1,84.0,0.0
10063-1,84.0,0.0
10064-1,84.0,0.0
10065-1,84.0,0.0
10066-1,41.0,0.0
10067-1,46.0,7.0
10068-1,40.0,0.0
10069-1,33.0,0.0
10070-1,27.0,0.0
10071-1,26.0,0.0
10072-1,56.0,0.0
10073-1,130.0,0.0
10074-1,68.0,0.0
10075-1,25.0,0.0
10076-1,40.0,1.0
10077-1,48.0,8.0
10078-1,1.0,0.0
10079-1,43.0,0.0
10080-1,31.0,3.0
10081-1,28.0,42.0
10082-1,28.0,42.0
10083-1,28.0,42.0
10090-1,55.0,0.0
10106-1,73.0,35.0
101-1,1.0,0.0
10111-1,10.0,0.0
10112-1,25.0,0.0
10113-1,5.0,0.0
10114-1,100.0,0.0
10115-1,80.0,0.0
10116-1,15.0,35.0
10117-1,0.0,50.0
10118-1,7.0,43.0
10121-1,16.0,0.0
10123-1,628.0,94.0
10124-1,677.0,0.0
10127-1,56.0,0.0
10128-1,309.0,23.0
10129-1,1450.0,15.0
101-3,1.0,0.0
10131-1,652.0,36.0
10132-1,683.0,20.0
10133-1,391.0,10.0
10134-1,1497.0,6.0
10143-1,3390.0,70.0
10144-1,1681.0,19.0
10145-1,125.0,0.0
10146-1,63.0,0.0
10147-1,62.0,0.0
10148-1,84.0,0.0
10149-1,42.0,0.0
10150-1,42.0,0.0
10151-1,420.0,10.0
10152-1,958.0,33.0
10152-2,958.0,33.0
10152-3,958.0,33.0
10153-1,3.0,0.0
10155-1,958.0,35.0
10156-1,102.0,6.0
10157-1,117.0,18.0
10158-1,131.0,21.0
10159-1,832.0,97.0
10159-2,832.0,97.0
10160-1,48.0,0.0
10161-1,76.0,0.0
10162-1,48.0,0.0
10163-1,76.0,0.0
10165-1,29.0,0.0
10166-1,32.0,2.0
10167-1,176.0,14.0
10168-1,68.0,0.0
10169-1,62.0,0.0
10170-1,365.0,0.0
10173-1,930.0,57.0
10174-1,1082.0,0.0
10175-1,1199.0,13.0
10176-1,857.0,22.0
10177-1,1140.0,68.0
10178-1,1147.0,1.0
10179-1,5161.0,56.0
10181-1,3359.0,84.0
10182-1,2040.0,49.0
10183-1,1010.0,84.0
10184-1,2003.0,87.0
10185-1,2386.0,29.0
10186-1,1034.0,75.0
10187-1,1630.0,12.0
10188-1,3708.0,178.0
10189-1,5554.0,408.0
10190-1,1275.0,2.0
10191-1,847.0,41.0
10192-1,868.0,100.0
10193-1,1634.0,18.0
10194-1,1079.0,26.0
10195-1,1772.0,4.0
10196-1,3183.0,112.0
10197-1,2213.0,65.0
10198-1,1395.0,29.0
10199-1,790.0,51.0
10-2,125.0,4.0
10200-1,868.0,44.0
10201-1,1.0,0.0
10202-1,3.0,0.0
10202-2,0.0,0.0
10203-1,0.0,0.0
10204-1,0.0,0.0
10205-1,229.0,7.0
102-1,24.0,0.0
10210-1,1621.0,18.0
10211-1,2048.0,173.0
10212-1,2482.0,36.0
10213-1,1174.0,48.0
10213sup-1,29.0,0.0
10214-1,4223.0,112.0
10215-1,681.0,7.0
10216-1,673.0,29.0
10217-1,1947.0,125.0
10218-1,2031.0,69.0
10219-1,1241.0,30.0
10220-1,1322.0,38.0
10221-1,3144.0,32.0
10222-1,781.0,58.0
10223-1,1599.0,25.0
10224-1,2721.0,97.0
10225-1,2146.0,20.0
10226-1,894.0,1.0
10227-1,1510.0,13.0
10228-1,2069.0,23.0
10229-1,1469.0,63.0
10230-1,1315.0,103.0
10231-1,1187.0,59.0
10232-1,2141.0,109.0
10233-1,1342.0,37.0
10234-1,2729.0,281.0
10235-1,1202.0,97.0
10236-1,2047.0,33.0
10237-1,2402.0,25.0
10240-1,1564.0,14.0
10241-1,1499.0,42.0
10242-1,1090.0,46.0
10242-2,1090.0,46.0
10243-1,2489.0,69.0
10244-1,1679.0,120.0
10245-1,891.0,42.0
1024601-1,1.0,0.0
10246-1,2253.0,79.0
10247-1,2436.0,65.0
10248-1,1158.0,32.0
10249-1,859.0,82.0
10250-1,246.0,5.0
10251-1,2292.0,165.0
10252-1,1191.0,28.0
10253-1,3672.0,587.0
10254-1,701.0,72.0
10255-1,3997.0,150.0
10257-1,2569.0,100.0
10285-1,1.0,0.0
10287-1,1.0,0.0
1029-1,87.0,6.0
102A-1,53.0,11.0
102A-2,48.0,8.0
10-3,8.0,0.0
1030-1,189.0,0.0
103-1,24.0,0.0
1031-1,20.0,0.0
1032-1,278.0,0.0
1033-1,20.0,0.0
1034-1,1534.0,0.0
1038-1,120.0,0.0
1039-1,39.0,0.0
104-1,1.0,0.0
1045-2,660.0,23.0
1049-1,209.0,29.0
10500-1,44.0,0.0
10501-1,4.0,1.0
10504-1,60.0,2.0
10505-1,83.0,0.0
10506-1,24.0,0.0
10507-1,51.0,1.0
10508-1,132.0,2.0
10509-1,15.0,1.0
105-1,62.0,3.0
10510-1,40.0,0.0
10511-1,49.0,0.0
10512-1,22.0,0.0
10513-1,33.0,4.0
10514-1,54.0,2.0
10515-1,34.0,5.0
10516-1,26.0,3.0
10517-1,37.0,0.0
10518-1,46.0,1.0
105-2,150.0,0.0
10520-1,12.0,0.0
10521-1,9.0,0.0
10522-1,12.0,0.0
10524-1,29.0,0.0
10525-1,121.0,0.0
10526-1,37.0,2.0
10527-1,14.0,0.0
10528-1,26.0,0.0
10529-1,16.0,0.0
1053-1,852.0,43.0
10531-1,65.0,0.0
10532-1,39.0,0.0
10538-1,26.0,4.0
10539-1,34.0,2.0
1054-1,202.0,9.0
10542-1,55.0,0.0
10543-1,19.0,0.0
10544-1,39.0,1.0
10545-1,58.0,1.0
10546-1,39.0,0.0
10550-1,9.0,0.0
10552-1,42.0,0.0
10553-1,17.0,0.0
10554-1,15.0,0.0
10555-1,63.0,2.0
10557-1,198.0,2.0
10558-1,31.0,0.0
1056-1,775.0,10.0
10561-1,37.0,0.0
10565-1,133.0,2.0
10566-1,52.0,0.0
10567-1,18.0,0.0
10568-1,16.0,0.0
10569-1,46.0,0.0
10570-1,30.0,0.0
10571-1,65.0,0.0
10572-1,65.0,0.0
10573-1,25.0,0.0
10574-1,23.0,0.0
10575-1,75.0,0.0
10576-1,9.0,0.0
