name,colour,location,seed,shape,sweetness,water_content,weight
apple,red,canada,TRUE,round,TRUE,84,100
banana,yellow,mexico,FALSE,long,TRUE,75,120
cantaloupe,orange,spain,TRUE,round,TRUE,90,1360
dragon fruit,magenta,china,TRUE,round,FALSE,96,600
elderberry,purple,austria,FALSE,round,TRUE,80,5
fig,purple,turkey,FALSE,oval,FALSE,78,40
guava,green,mexico,TRUE,oval,TRUE,83,450
huckleberry,blue,canada,TRUE,round,TRUE,73,5
kiwi,brown,china,TRUE,round,TRUE,80,76
lemon,yellow,mexico,FALSE,oval,FALSE,83,65
