name,deck_no,attack,defense,sp_attack,sp_defense,speed,capture_rt,total_bs,type,gen,legendary
Hitmonchan,107,105,79,35,110,76,45,455,fighting,1,0
Lickitung,108,55,75,60,75,30,45,385,normal,1,0
Koffing,109,65,95,60,45,35,190,340,poison,1,0
Weezing,110,90,120,85,70,60,60,490,poison,1,0
Rhyhorn,111,85,95,30,30,25,120,345,ground,1,0
Rhydon,112,130,120,45,45,40,60,485,ground,1,0
Chansey,113,5,5,35,105,50,30,450,normal,1,0
Tangela,114,55,115,100,40,60,45,435,grass,1,0
Kangaskhan,115,125,100,60,100,100,45,590,normal,1,0
Horsea,116,40,70,70,25,60,225,295,water,1,0
Seadra,117,65,95,95,45,85,75,440,water,1,0
Goldeen,118,67,60,35,50,63,225,320,water,1,0
Seaking,119,92,65,65,80,68,60,450,water,1,0
Staryu,120,45,55,70,55,85,225,340,water,1,0
Starmie,121,75,85,100,85,115,60,520,water,1,0
Mr. Mime,122,45,65,100,120,90,45,460,psychic,1,0
Scyther,123,110,80,55,80,105,45,500,bug,1,0
Jynx,124,50,35,115,95,95,45,455,ice,1,0
Electabuzz,125,83,57,95,85,105,45,490,electric,1,0
Magmar,126,95,57,100,85,93,45,495,fire,1,0
Pinsir,127,155,120,65,90,105,45,600,bug,1,0
Tauros,128,100,95,40,70,110,45,490,normal,1,0
Magikarp,129,10,55,15,20,80,255,200,water,1,0
Gyarados,130,155,109,70,130,81,45,640,water,1,0
Lapras,131,85,80,85,95,60,45,535,water,1,0
Ditto,132,48,48,48,48,48,35,288,normal,1,0
Eevee,133,55,50,45,65,55,45,325,normal,1,0
Vaporeon,134,65,60,110,95,65,45,525,water,1,0
Jolteon,135,65,60,110,95,130,45,525,electric,1,0
Flareon,136,130,60,95,110,65,45,525,fire,1,0
Porygon,137,60,70,85,75,40,45,395,normal,1,0
Omanyte,138,40,100,90,55,35,45,355,rock,1,0
Omastar,139,60,125,115,70,55,45,495,rock,1,0
Kabuto,140,80,90,55,45,55,45,355,rock,1,0
Kabutops,141,115,105,65,70,80,45,495,rock,1,0
Aerodactyl,142,135,85,70,95,150,45,615,rock,1,0
Snorlax,143,110,65,65,110,30,25,540,normal,1,0
Articuno,144,85,100,95,125,85,3,580,ice,1,1
Zapdos,145,90,85,125,90,100,3,580,electric,1,1
Moltres,146,100,90,125,85,90,3,580,fire,1,1
Dratini,147,64,45,50,50,50,45,300,dragon,1,0
Dragonair,148,84,65,70,70,70,45,420,dragon,1,0
Dragonite,149,134,95,100,100,80,45,600,dragon,1,0
Mewtwo,150,150,70,194,120,140,3,780,psychic,1,1
Mew,151,100,100,100,100,100,45,600,psychic,1,1
Chikorita,152,49,65,49,65,45,45,318,grass,2,0
Bayleef,153,62,80,63,80,60,45,405,grass,2,0
Meganium,154,82,100,83,100,80,45,525,grass,2,0
Cyndaquil,155,52,43,60,50,65,45,309,fire,2,0
Quilava,156,64,58,80,65,80,45,405,fire,2,0
Typhlosion,157,84,78,109,85,100,45,534,fire,2,0
Totodile,158,65,64,44,48,43,45,314,water,2,0
Croconaw,159,80,80,59,63,58,45,405,water,2,0
Feraligatr,160,105,100,79,83,78,45,530,water,2,0
Sentret,161,46,34,35,45,20,255,215,normal,2,0
Furret,162,76,64,45,55,90,90,415,normal,2,0
Hoothoot,163,30,30,36,56,50,255,262,normal,2,0
Noctowl,164,50,50,86,96,70,90,452,normal,2,0
Ledyba,165,20,30,40,80,55,255,265,bug,2,0
Ledian,166,35,50,55,110,85,90,390,bug,2,0
Spinarak,167,60,40,40,40,30,255,250,bug,2,0
Ariados,168,90,70,60,70,40,90,400,bug,2,0
Crobat,169,90,80,70,80,130,90,535,poison,2,0
Chinchou,170,38,38,56,56,67,190,330,water,2,0
Lanturn,171,58,58,76,76,67,75,460,water,2,0
Pichu,172,40,15,35,35,60,190,205,electric,2,0
Cleffa,173,25,28,45,55,15,150,218,fairy,2,0
Igglybuff,174,30,15,40,20,15,170,210,normal,2,0
Togepi,175,20,65,40,65,20,190,245,fairy,2,0
Togetic,176,40,85,80,105,40,75,405,fairy,2,0
Natu,177,50,45,70,45,70,190,320,psychic,2,0
Xatu,178,75,70,95,70,95,75,470,psychic,2,0
Mareep,179,40,40,65,45,35,235,280,electric,2,0
Flaaffy,180,55,55,80,60,45,120,365,electric,2,0
Ampharos,181,95,105,165,110,45,45,610,electric,2,0
Bellossom,182,80,95,90,100,50,45,490,grass,2,0
Marill,183,20,50,20,50,40,190,250,water,2,0
Azumarill,184,50,80,60,80,50,75,420,water,2,0
Sudowoodo,185,100,115,30,65,30,65,410,rock,2,0
Politoed,186,75,75,90,100,70,45,500,water,2,0
Hoppip,187,35,40,35,55,50,255,250,grass,2,0
Skiploom,188,45,50,45,65,80,120,340,grass,2,0
Jumpluff,189,55,70,55,95,110,45,460,grass,2,0
Aipom,190,70,55,40,55,85,45,360,normal,2,0
Sunkern,191,30,30,30,30,30,235,180,grass,2,0
Sunflora,192,75,55,105,85,30,120,425,grass,2,0
Yanma,193,65,45,75,45,95,75,390,bug,2,0
Wooper,194,45,45,25,25,15,255,210,water,2,0
Quagsire,195,85,85,65,65,35,90,430,water,2,0
Espeon,196,65,60,130,95,110,45,525,psychic,2,0
Umbreon,197,65,110,60,130,65,45,525,dark,2,0
Murkrow,198,85,42,85,42,91,30,405,dark,2,0
Slowking,199,75,80,100,110,30,70,490,water,2,0
Misdreavus,200,60,60,85,85,85,45,435,ghost,2,0
Unown,201,72,48,72,48,48,225,336,psychic,2,0
