name,deck_no,attack,defense,sp_attack,sp_defense,speed,capture_rt,total_bs,type,gen,legendary
Golem,76,120,130,55,65,45,45,495,rock,1,0
Ponyta,77,85,55,65,65,90,190,410,fire,1,0
Rapidash,78,100,70,80,80,105,60,500,fire,1,0
Slowpoke,79,65,65,40,40,15,190,315,water,1,0
Slowbro,80,75,180,130,80,30,75,590,water,1,0
Magnemite,81,35,70,95,55,45,190,325,electric,1,0
Magneton,82,60,95,120,70,70,60,465,electric,1,0
Farfetch'd,83,90,55,58,62,60,45,377,normal,1,0
Doduo,84,85,45,35,35,75,190,310,normal,1,0
Dodrio,85,110,70,60,60,110,45,470,normal,1,0
Seel,86,45,55,45,70,45,190,325,water,1,0
Dewgong,87,70,80,70,95,70,75,475,water,1,0
Grimer,88,80,50,40,50,25,190,325,poison,1,0
Muk,89,105,75,65,100,50,75,500,poison,1,0
Shellder,90,65,100,45,25,40,190,305,water,1,0
Cloyster,91,95,180,85,45,70,60,525,water,1,0
Gastly,92,35,30,100,35,80,190,310,ghost,1,0
Haunter,93,50,45,115,55,95,90,405,ghost,1,0
Gengar,94,65,80,170,95,130,45,600,ghost,1,0
Onix,95,45,160,30,45,70,45,385,rock,1,0
Drowzee,96,48,45,43,90,42,190,328,psychic,1,0
Hypno,97,73,70,73,115,67,75,483,psychic,1,0
Krabby,98,105,90,25,25,50,225,325,water,1,0
Kingler,99,130,115,50,50,75,60,475,water,1,0
Voltorb,100,30,50,55,55,100,190,330,electric,1,0
Electrode,101,50,70,80,80,150,60,490,electric,1,0
Exeggcute,102,40,80,60,45,40,90,325,grass,1,0
Exeggutor,103,105,85,125,75,45,45,530,grass,1,0
Cubone,104,50,95,40,50,35,190,320,ground,1,0
Marowak,105,80,110,50,80,45,75,425,ground,1,0
Hitmonlee,106,120,53,35,110,87,45,455,fighting,1,0
