set_num,name,year,theme_id,num_parts
5182-1,Hinges and Couplings,1989,443,19
5183-1,Hinges and Couplings,1989,443,32
5184-1,Castle Equipment,1989,447,38
5185-1,Dustbins with Lids,1989,443,8
5186-1,Fence,1989,443,10
5187-1,Bricks with Groove and Garage Panels,1989,443,26
5188-1,"Seats, Steering Wheels and Windscreens",1989,443,10
518-9,2 x 4 Plates - Black (architectural hobby und modelbau version),1962,252,26
5189-1,Ladder (Black and Grey),1989,443,16
5190-1,Seats and Windscreens,1989,443,7
519-1,2 x 3 Plates (cardboard box version),1962,371,240
519-10,2 x 3 Plates - Blue (architectural hobby und modelbau version),1962,252,32
519-11,2 x 3 Plates - Light Gray (architectural hobby und modelbau version),1962,252,32
5191-1,Balloon Tires,1989,443,4
519-12,2 x 3 Plates - Red (architectural hobby und modelbau version),1962,252,32
519-13,2 x 3 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,32
519-14,2 x 3 Plates - White (architectural hobby und modelbau version),1962,252,32
519-15,2 x 3 Plates - Yellow (architectural hobby und modelbau version),1962,252,32
5192-1,Cypress Trees,1989,443,2
5193-1,Sloping Frames,1989,443,6
5194-1,"Hinge Plate, Fork-Lift",1989,443,3
5195-1,Assorted Arches,1989,443,6
5196-1,"Crane, Crane Hooks and Ladders",1989,443,5
5197-1,"Lampholders, Plate with Holders",1989,443,24
5198-1,"Small Plates, Disks and Cones",1989,443,56
519-9,2 x 3 Plates - Black (architectural hobby und modelbau version),1962,252,32
5199-1,Mini Antennas and Stick,1989,443,32
5200-1,Signal Masts and Feet,1987,456,8
520-1,2 x 2 Plates - Black (cardboard box version),1962,371,40
520-10,2 x 2 Plates - Blue (architectural hobby und modelbau version),1962,252,42
520-11,2 x 2 Plates - Light Gray (architectural hobby und modelbau version),1962,252,42
5201-1,Angle Pieces,1997,453,20
520-12,2 x 2 Plates - Red (architectural hobby und modelbau version),1962,252,42
520-13,2 x 2 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,42
520-14,2 x 2 Plates - White (architectural hobby und modelbau version),1962,252,42
520-15,2 x 2 Plates - Yellow (architectural hobby und modelbau version),1962,252,42
520-16,Basic Building Set,1985,467,173
520-2,2 x 2 Plates - Blue (cardboard box version),1962,371,40
5202-1,Angle Beams,1997,453,8
520-3,2 x 2 Plates - Green (cardboard box version),1962,371,40
5203-1,Silver Wheels,1999,453,4
520-4,2 x 2 Plates - Light Gray (cardboard box version),1963,371,40
5204-1,Cyber Slam Accessories,1999,453,11
520-5,2 x 2 Plates - Red (cardboard box version),1963,371,40
5205-1,Pulleys and Rubber Belts,1999,453,14
520-6,2 x 2 Plates - Trans-Clear (cardboard box version),1963,371,40
5206-1,Speed Computer,2000,19,19
520-7,2 x 2 Plates - White (cardboard box version),1963,371,40
520-8,2 x 2 Plates - Yellow (cardboard box version),1962,371,40
520-9,2 x 2 Plates - Black (architectural hobby und modelbau version),1962,252,42
5210-1,Elastic Bands,1997,453,1
521-1,1 x 1 and 1 x 2 Plates (cardboard box version),1962,371,640
521-10,1 x 1 and 1 x 2 Plates - Blue (architectural hobby und modelbau version),1962,252,82
521-11,1 x 1 and 1 x 2 Plates - Light Gray (architectural hobby und modelbau version),1962,252,82
521-12,1 x 1 and 1 x 2 Plates - Red (architectural hobby und modelbau version),1962,252,82
521-13,1 x 1 and 1 x 2 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,82
521-14,1 x 1 and 1 x 2 Plates - White (architectural hobby und modelbau version),1962,252,82
521-15,1 x 1 and 1 x 2 Plates - Yellow (architectural hobby und modelbau version),1962,252,82
5215-1,"Bricks Assorted, Green",1999,443,62
5216-1,"Roof Bricks Assorted, Black",1999,443,57
5217-1,Black Plates Assorted,1999,443,42
5218-1,Pneumatic Pack,2000,19,152
521-9,1 x 1 and 1 x 2 Plates - Black (architectural hobby und modelbau version),1962,252,82
5219-1,Wheel Pack,2000,19,28
5220-1,Styling Pack,2000,19,220
522-1,Police Station,1977,504,26
5221-1,Motor Pack,2000,19,55
5222-1,Chassis Pack,2000,19,137
5223-1,Wind-up Motor,2001,19,41
5225-1,9v Motor with gear reduction,1998,453,1
5226-1,Cross Axles,1998,453,18
5227-1,Fiber Optic Cables,2000,453,8
5228-1,Small Beams and Plates,1997,453,26
5229-1,Gears & Differentials,1997,453,23
5231-1,TECHNIC Beams and Plates [Yellow],1987,453,20
5232-1,TECHNIC Beams and Plates [Blue],1987,453,18
5233-1,Bedroom,1980,405,163
5233-2,Small Beams and Plates with holes,1993,453,26
5234-1,TECHNIC Beams and Plates {black},1987,453,20
5235-1,Large Beams with Holes,1993,453,10
5235-2,Schoolroom,1982,405,232
5236-1,TECHNIC Beams [Blue],1987,453,8
5237-1,TECHNIC Beams {black},1987,453,8
5238-1,TECHNIC Beams {red},1987,453,8
5239-1,Cross Axles,1987,453,34
5240-1,TECHNIC Wheels with 43 mm + 24 mm tyres,1987,453,12
5241-1,Gear Wheel Assortment,1987,453,20
5242-1,Differential Gear Housing,1987,453,19
5243-1,TECHNIC Chainlinks,1987,453,70
5244-1,TECHNIC Bulldozer Chainlinks,1987,453,54
5245-1,"Differential Gears / Universal Joint, Differential Housing and Wheels",1994,453,6
5246-1,X-Large Tires / 81 mm Tyres and Hubs,1987,453,4
5247-1,Toggle Joints,1987,453,66
5248-1,62 mm Tires and Hubs / 62 mm Tyres and Hubs,1987,453,4
5249-1,TECHNIC Beams and Plates [Red],1987,453,20
5250-1,TECHNIC Beams {yellow},1987,453,8
525-1,Basic Building Set,1990,467,185
5251-1,Shock Absorbers,1989,453,4
