,inventory_id,set_num,quantity,name,year,theme_id,num_parts
0,35,75911-1,1,McLaren Mercedes Pit Stop,2015,601,340
1,35,75912-1,1,Porsche 911 GT Finish Line,2015,601,561
2,39,75048-1,1,The Phantom,2014,182,233
3,39,75053-1,1,The Ghost,2014,182,927
4,50,4515-1,1,Straight Rails,1991,244,8
5,309,4515-1,7,Straight Rails,1991,244,8
6,561,4515-1,1,Straight Rails,1991,244,8
7,5358,4515-1,1,Straight Rails,1991,244,8
8,5491,4515-1,1,Straight Rails,1991,244,8
9,6050,4515-1,1,Straight Rails,1991,244,8
10,6330,4515-1,3,Straight Rails,1991,244,8
11,10158,4515-1,1,Straight Rails,1991,244,8
12,13917,4515-1,1,Straight Rails,1991,244,8
13,15164,4515-1,2,Straight Rails,1991,244,8
14,50,4520-1,2,Curved Rails,1991,244,8
15,309,4520-1,5,Curved Rails,1991,244,8
16,561,4520-1,2,Curved Rails,1991,244,8
17,5491,4520-1,1,Curved Rails,1991,244,8
18,6050,4520-1,1,Curved Rails,1991,244,8
19,6330,4520-1,2,Curved Rails,1991,244,8
20,10158,4520-1,2,Curved Rails,1991,244,8
21,13917,4520-1,2,Curved Rails,1991,244,8
22,15164,4520-1,2,Curved Rails,1991,244,8
23,50,4531-1,1,Manual Points,1991,244,6
24,309,4531-1,3,Manual Points,1991,244,6
25,6330,4531-1,2,Manual Points,1991,244,6
26,15164,4531-1,1,Manual Points,1991,244,6
27,71,7690-1,1,MB-01 Eagle Command Base,2007,137,763
28,5114,7690-1,1,MB-01 Eagle Command Base,2007,137,763
29,71,7691-1,1,ETX Alien Mothership Assault,2007,137,433
30,5114,7691-1,1,ETX Alien Mothership Assault,2007,137,433
31,71,7692-1,1,MX-71 Recon Dropship,2007,137,434
32,5114,7692-1,1,MX-71 Recon Dropship,2007,137,434
33,71,7693-1,1,ETX Alien Strike,2007,137,245
34,5114,7693-1,1,ETX Alien Strike,2007,137,245
35,71,7694-1,1,MT-31 Trike,2007,137,94
36,5114,7694-1,1,MT-31 Trike,2007,137,94
37,71,7695-1,1,MX-11 Astro Fighter,2007,137,56
38,5114,7695-1,1,MX-11 Astro Fighter,2007,137,56
39,71,7697-1,1,MT-51 Claw-Tank Ambush,2007,137,373
40,5114,7697-1,1,MT-51 Claw-Tank Ambush,2007,137,373
41,81,8451-1,1,Dumper,2003,7,183
42,81,8453-1,1,Front End Loader,2003,7,214
43,87,10233-1,1,Horizon Express,2013,240,1349
44,87,88002-1,1,Power Functions Train Motor,2011,438,7
45,87,8870-1,1,Power Functions Light,2009,438,1
46,973,8870-1,1,Power Functions Light,2009,438,1
47,7391,8870-1,1,Power Functions Light,2009,438,1
48,87,8878-1,1,Rechargeable Battery Box,2009,438,1
49,973,8878-1,1,Rechargeable Battery Box,2009,438,1
50,7391,8878-1,1,Rechargeable Battery Box,2009,438,1
51,87,8879-1,1,IR Speed Remote Control,2009,438,1
52,973,8879-1,1,IR Speed Remote Control,2009,438,1
53,7391,8879-1,1,IR Speed Remote Control,2009,438,1
54,87,8884-1,1,Power Functions IR Receiver,2008,438,1
55,973,8884-1,1,Power Functions IR Receiver,2008,438,1
56,7391,8884-1,1,Power Functions IR Receiver,2008,438,1
57,104,4103-1,1,Fun with Bricks {small red bucket},2002,37,200
58,104,4782-1,1,Box of Bricks,2005,48,200
59,122,7238-1,1,Fire Helicopter,2005,58,75
60,1401,7238-1,1,Fire Helicopter,2005,58,75
61,3109,7238-1,1,Fire Helicopter,2005,58,75
62,4261,7238-1,1,Fire Helicopter,2005,58,75
63,4430,7238-1,1,Fire Helicopter,2005,58,75
64,4969,7238-1,1,Fire Helicopter,2005,58,75
65,6282,7238-1,1,Fire Helicopter,2005,58,75
66,9178,7238-1,1,Fire Helicopter,2005,58,75
67,11861,7238-1,1,Fire Helicopter,2005,58,75
68,15694,7238-1,1,Fire Helicopter,2005,58,75
69,122,7890-1,1,Ambulance,2006,60,117
70,4187,7890-1,1,Ambulance,2006,60,117
71,6205,7890-1,1,Ambulance,2006,60,117
72,9178,7890-1,1,Ambulance,2006,60,117
73,10028,7890-1,1,Ambulance,2006,60,117
74,13355,7890-1,1,Ambulance,2006,60,117
75,13398,7890-1,1,Ambulance,2006,60,117
76,122,7944-1,1,Fire Hovercraft,2007,58,273
77,1418,7944-1,1,Fire Hovercraft,2007,58,273
78,4261,7944-1,1,Fire Hovercraft,2007,58,273
79,6282,7944-1,1,Fire Hovercraft,2007,58,273
80,9178,7944-1,1,Fire Hovercraft,2007,58,273
81,131,7634-1,1,Tractor,2009,57,77
82,7151,7634-1,1,Tractor,2009,57,77
83,131,7635-1,1,4WD with Horse Trailer,2009,57,176
84,131,7684-1,1,Pig Farm & Tractor,2010,57,256
