name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,N,Cold,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973
100% Natural Bran,Q,Cold,120,3,5,15,2,8,8,135,0,3,1,1,33.983679
All-Bran,K,Cold,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
All-Bran with Extra Fiber,K,Cold,50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
Almond Delight,R,Cold,110,2,2,200,1,14,8,1,25,3,1,0.75,34.384843
Apple Cinnamon Cheerios,G,Cold,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541
Apple Jacks,K,Cold,110,2,0,125,1,11,14,30,25,2,1,1,33.174094
Basic 4,G,Cold,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562
Bran Chex,R,Cold,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253
Bran Flakes,P,Cold,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813
Cap'n'Crunch,Q,Cold,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851
Cheerios,G,Cold,110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999
Cinnamon Toast Crunch,G,Cold,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573
Clusters,G,Cold,110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208
Cocoa Puffs,G,Cold,110,1,1,180,0,12,13,55,25,2,1,1,22.736446
Corn Chex,R,Cold,110,2,0,280,0,22,3,25,25,1,1,1,41.445019
Corn Flakes,K,Cold,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
Corn Pops,K,Cold,110,1,0,90,1,13,12,20,25,2,1,1,35.782791
Count Chocula,G,Cold,110,1,1,180,0,12,13,65,25,2,1,1,22.396513
Cracklin' Oat Bran,K,Cold,110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
Cream of Wheat (Quick),N,Hot,100,3,0,80,1,21,0,1,0,2,1,1,64.533816
Crispix,K,Cold,110,2,0,220,1,21,3,30,25,3,1,1,46.895644
Crispy Wheat & Raisins,G,Cold,100,2,1,140,2,11,10,120,25,3,1,0.75,36.176196
Double Chex,R,Cold,100,2,0,190,1,18,5,80,25,3,1,0.75,44.330856
Froot Loops,K,Cold,110,2,1,125,1,11,13,30,25,2,1,1,32.207582
Frosted Flakes,K,Cold,110,1,0,200,1,14,11,25,25,1,1,0.75,31.435973
Frosted Mini-Wheats,K,Cold,100,3,0,0,3,14,7,100,25,2,1,0.8,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,P,Cold,120,3,2,160,5,12,10,200,25,3,1.25,0.67,40.917047
Fruitful Bran,K,Cold,120,3,0,240,5,14,12,190,25,3,1.33,0.67,41.015492
Fruity Pebbles,P,Cold,110,1,1,135,0,13,12,25,25,2,1,0.75,28.025765
Golden Crisp,P,Cold,100,2,0,45,0,11,15,40,25,1,1,0.88,35.252444
