bite_date,species,gender,color
1985-05-05,DOG,FEMALE,LIG. BROWN
1986-02-12,DOG,UNKNOWN,BRO & BLA
1987-05-07,DOG,UNKNOWN,
1988-10-02,DOG,MALE,BLA & BRO
1989-08-29,DOG,FEMALE,BLK-WHT
1989-11-24,DOG,UNKNOWN,
1990-02-08,DOG,FEMALE,BLACK/WHIT
1990-02-22,DOG,MALE,BLK-WHT
1990-08-02,DOG,MALE,BROWN
1990-08-19,DOG,UNKNOWN,BRN-TAN
1990-08-31,DOG,MALE,TRI
1990-10-20,DOG,MALE,BLK
1991-02-09,DOG,MALE,BLK-BRN
1991-07-05,DOG,MALE,BLK-BRN
1991-09-14,DOG,MALE,WHT
1991-10-09,DOG,FEMALE,WHT-BRN
1991-11-07,DOG,UNKNOWN,
1992-02-08,DOG,MALE,BLK
1992-02-27,DOG,MALE,BLK-TAN
1992-03-06,DOG,MALE,WHT
1992-03-18,CAT,UNKNOWN,
1992-04-06,DOG,UNKNOWN,BLK
1992-05-06,DOG,UNKNOWN,BLK
1992-06-04,DOG,MALE,BRN
1992-06-29,DOG,FEMALE,RED
1992-08-06,DOG,UNKNOWN,WHITE
1992-08-26,DOG,MALE,BRN-BLK
1993-04-04,DOG,UNKNOWN,
1993-04-06,CAT,UNKNOWN,
1993-05-12,DOG,MALE,BRN
1993-06-20,DOG,UNKNOWN,
1993-07-09,DOG,FEMALE,BRN
1993-12-04,DOG,UNKNOWN,
1994-03-31,DOG,MALE,BRN-BLK
1994-04-11,DOG,MALE,BLK
1994-05-08,DOG,UNKNOWN,
1994-05-10,DOG,FEMALE,MULT COLOR
1994-05-22,DOG,MALE,TRI
1994-06-10,DOG,UNKNOWN,
1994-07-21,DOG,UNKNOWN,
2009-10-29,CAT,FEMALE,GRAY
2009-12-02,DOG,MALE,TAN-BRN
2009-12-11,DOG,MALE,BLK-BRN
2009-12-21,DOG,UNKNOWN,BLACK
2009-12-24,DOG,MALE,BRN-WHT
2009-12-24,DOG,UNKNOWN,BLACK
2009-12-28,DOG,UNKNOWN,BLACK
2009-12-29,DOG,FEMALE,WHT-BRN
2009-12-30,DOG,FEMALE,WHITE
2009-12-30,DOG,MALE,BLK-WHT
2009-12-30,DOG,FEMALE,BLK-WHT
2009-12-31,DOG,MALE,WHT-GRAY
2009-12-31,CAT,MALE,WHITE
2009-12-31,DOG,MALE,BRN
2010-01-01,DOG,FEMALE,WHT
2010-01-02,DOG,MALE,BLK-BRN
2010-01-02,DOG,UNKNOWN,
2010-01-02,CAT,FEMALE,
2010-01-02,DOG,UNKNOWN,BLK
2010-01-02,DOG,FEMALE,BRN-WHT
2010-01-03,CAT,UNKNOWN,BLK-WHT
2010-01-04,DOG,FEMALE,BLK
2010-01-04,DOG,MALE,TAN
2010-01-05,DOG,MALE,BLK-TAN
2010-01-05,DOG,FEMALE,BRN
2010-01-06,DOG,UNKNOWN,BLUE
2010-01-07,DOG,FEMALE,TAN
2010-01-07,DOG,MALE,BLK
2010-01-07,DOG,MALE,COPPER-WHT
2010-01-08,DOG,MALE,BLK-WHT
2010-01-08,DOG,FEMALE,WHT-BUFF
2010-01-09,DOG,UNKNOWN,BLK-WHT
2010-01-09,CAT,UNKNOWN,
2010-01-09,CAT,UNKNOWN,BLK
2010-01-10,DOG,UNKNOWN,WHT
2010-01-11,DOG,MALE,BRN
2010-01-11,DOG,MALE,BLK-WHT
2010-01-11,DOG,FEMALE,BRINDLE
2010-01-12,DOG,MALE,BRN-WHT
2010-01-12,DOG,MALE,TRI
2010-01-12,DOG,MALE,BLK
2010-01-12,CAT,UNKNOWN,BLK-WHT
2010-01-14,DOG,UNKNOWN,TAN
2010-01-14,DOG,MALE,YELLOW
2010-01-15,DOG,MALE,BLACK/BROW
2010-01-16,CAT,FEMALE,BLK-WHT
2010-01-16,DOG,MALE,TRI
2010-01-16,DOG,MALE,BLUE
2010-01-17,CAT,MALE,BROWN
2010-01-19,DOG,MALE,BLK
2010-01-20,DOG,MALE,BLK
2010-01-21,DOG,FEMALE,BRN
2010-01-22,CAT,MALE,BLK-WHT
2010-01-23,DOG,UNKNOWN,YELLOW
2010-01-24,DOG,MALE,RED
2010-01-25,CAT,FEMALE,GRAY-TORTI
2010-01-25,DOG,FEMALE,FAWN-WHT
2010-01-25,DOG,FEMALE,BRN-WHT
2010-01-26,DOG,MALE,BROWN-BLK
2010-01-27,DOG,MALE,BLACK
